intensity	day_of_week	month	day	hour	minute
0.7858938732301177	1	04	10	21	03
0.7960808328230251	1	04	10	21	08
0.8117498420720152	1	04	10	21	13
0.7735404896421846	1	04	10	21	18
0.8372690763052208	1	04	10	21	23
0.8352509588127397	1	04	10	21	28
0.7633998020082026	1	04	10	21	33
0.7066666666666667	1	04	10	21	38
0.7331588132635253	1	04	10	21	43
0.7214421910209742	1	04	10	21	48
0.7250306372549019	1	04	10	21	53
0.7612612612612613	1	04	10	21	58
0.7558375634517767	1	04	10	22	03
1.0	1	04	10	22	08
0.6948853615520282	1	04	10	22	13
0.7056902985074627	1	04	10	22	18
0.759592795614722	2	04	11	12	43
0.7543532338308457	2	04	11	12	53
0.7340267459138187	2	04	11	13	08
0.7101947308132875	2	04	11	13	13
0.6928380469959196	2	04	11	13	18
0.7453505007153076	2	04	11	13	23
0.7019641332194705	2	04	11	13	28
0.635209134335314	2	04	11	13	33
0.6337392873252142	2	04	11	13	38
0.7524602573807722	2	04	11	13	43
0.6764833261152013	2	04	11	13	48
0.6469372998657164	2	04	11	13	53
0.6299607843137255	2	04	11	13	58
0.7093279160318267	2	04	11	14	03
0.673519976669583	2	04	11	14	08
0.6977317554240631	2	04	11	14	18
0.6928691074419717	2	04	11	14	28
0.6365828453324147	2	04	11	14	33
0.6371572605434649	2	04	11	14	38
0.6407503393804763	2	04	11	14	43
0.6699314397649363	2	04	11	14	48
0.6898613103778096	2	04	11	14	53
0.6506882989183874	2	04	11	14	58
0.6661243673174259	2	04	11	15	03
0.655683192261185	2	04	11	15	08
0.6549835706462213	2	04	11	15	18
0.6842105263157895	2	04	11	15	33
0.7046107853282741	2	04	11	15	38
0.6600331674958541	2	04	11	15	48
0.729525120440468	2	04	11	15	53
0.6766738146294973	2	04	11	15	58
0.6783625730994152	2	04	11	16	18
0.6969451203027845	2	04	11	16	28
0.71143592572164	2	04	11	16	38
0.7104930467762326	2	04	11	16	43
0.6853613206515797	2	04	11	16	48
0.6667813324160073	2	04	11	16	53
0.7679719462302746	2	04	11	16	58
0.7239098987394089	2	04	11	17	03
0.738087823108066	2	04	11	17	08
0.6779273093472489	2	04	11	17	13
0.7134584851032035	2	04	11	17	18
0.7908611599297012	2	04	11	17	23
0.7356389214536928	2	04	11	17	28
0.8319169027384324	2	04	11	17	33
0.7269861971524835	2	04	11	17	38
0.7479365079365079	2	04	11	17	43
0.8889574336829118	2	04	11	17	48
0.7718213058419244	2	04	11	17	53
0.8346041055718475	2	04	11	17	58
0.804950917626974	2	04	11	18	08
0.7424534360950545	2	04	11	18	13
0.7578147823546597	2	04	11	18	18
0.9013364779874213	2	04	11	18	23
0.8033195020746888	2	04	11	18	28
0.7805402087170042	2	04	11	18	33
0.9983266398929049	2	04	11	18	38
0.8082776540460282	2	04	11	18	43
0.849786485807586	2	04	11	18	48
0.7853107344632768	2	04	11	18	53
0.8403852769177846	2	04	11	18	58
0.7475444096133751	2	04	11	19	03
0.8557360905957656	2	04	11	19	08
0.7936893203883495	2	04	11	19	13
0.822868810617662	2	04	11	19	18
0.8377564464520987	2	04	11	19	23
0.8705596107055961	2	04	11	19	28
